criterio,tipo_prueba,id_caso,descripcion,precondiciones,pasos,resultado_esperado
Al acceder a la app el usuario debe tener una pantalla de bienvenida como se muestra en la pantalla NEW_LOGIN_01,Funcional,TC-001,Verificar que la pantalla de bienvenida se muestra correctamente como la primera pantalla al iniciar la aplicación.,La aplicación está instalada y cerrada.,1. Iniciar la aplicación.,La pantalla de bienvenida se muestra como la primera pantalla de la aplicación.
Al acceder a la app el usuario debe tener una pantalla de bienvenida como se muestra en la pantalla NEW_LOGIN_01,Usabilidad,TC-002,Verificar que el diseño visual de la pantalla de bienvenida coincide con el mockup 'NEW_LOGIN_01'.,La pantalla de bienvenida está visible.,"1. Observar la pantalla de bienvenida.
2. Comparar el diseño, la disposición de los elementos y los estilos con el mockup 'NEW_LOGIN_01'.",El diseño visual de la pantalla de bienvenida coincide exactamente con el mockup 'NEW_LOGIN_01'.
La pantalla de bienvenida debe contener una imagen de fondo.,Funcional,TC-003,Verificar que la pantalla de bienvenida muestra una imagen de fondo.,La pantalla de bienvenida está visible.,1. Observar la pantalla de bienvenida.,Una imagen de fondo es visible en la pantalla de bienvenida.
La pantalla de bienvenida debe contener una imagen de fondo.,Usabilidad,TC-004,Verificar que la imagen de fondo se carga correctamente sin distorsiones o artefactos visuales.,La pantalla de bienvenida está visible con la imagen de fondo.,1. Observar la imagen de fondo en la pantalla de bienvenida.,"La imagen de fondo se muestra nítida, sin pixelación, estiramiento o cualquier otro tipo de distorsión visual."
Debe tener un botón con el texto “Ingresar“,Funcional,TC-005,Verificar que un botón con el texto 'Ingresar' está presente en la pantalla de bienvenida.,La pantalla de bienvenida está visible.,1. Observar la pantalla de bienvenida.,Un botón con el texto 'Ingresar' es visible en la pantalla.
Debe tener un botón con el texto “Ingresar“,Funcional,TC-006,Verificar que el texto del botón es exactamente 'Ingresar'.,El botón 'Ingresar' es visible en la pantalla de bienvenida.,1. Leer el texto del botón presente en la pantalla de bienvenida.,"El texto del botón es exactamente 'Ingresar' (respetando mayúsculas, minúsculas y espacios)."
Debe tener un botón con el texto “Ingresar“,Usabilidad,TC-007,Verificar que el botón 'Ingresar' es interactuable y no está deshabilitado.,El botón 'Ingresar' es visible en la pantalla de bienvenida.,"1. Intentar interactuar con el botón 'Ingresar' (por ejemplo, con un toque o clic).","El botón 'Ingresar' responde a la interacción (por ejemplo, muestra un efecto visual de pulsación) y no está deshabilitado."
Debe mostrar el texto “Copyright © Simon Movilidad 2025. Todos los derechos reservados.“,Funcional,TC-008,Verificar que el texto de copyright se muestra en la pantalla de bienvenida.,La pantalla de bienvenida está visible.,1. Observar la pantalla de bienvenida.,El texto de copyright es visible en la pantalla.
Debe mostrar el texto “Copyright © Simon Movilidad 2025. Todos los derechos reservados.“,Funcional,TC-009,Verificar que el texto de copyright es exactamente 'Copyright © Simon Movilidad 2025. Todos los derechos reservados.'.,El texto de copyright es visible en la pantalla de bienvenida.,1. Leer el texto de copyright en la pantalla de bienvenida.,"El texto de copyright es exactamente 'Copyright © Simon Movilidad 2025. Todos los derechos reservados.' (respetando mayúsculas, minúsculas, símbolos y espacios)."
Deberá mostrar la versión de la aplicación para el sistema operativo según aplique.,Funcional,TC-010,Verificar que la versión de la aplicación se muestra en la pantalla de bienvenida.,La pantalla de bienvenida está visible.,1. Observar la pantalla de bienvenida.,Un texto que indica la versión de la aplicación es visible en la pantalla.
Deberá mostrar la versión de la aplicación para el sistema operativo según aplique.,Funcional,TC-011,Verificar que la versión de la aplicación mostrada coincide con la versión actual del build.,La versión de la aplicación es visible en la pantalla de bienvenida.,"1. Leer la versión de la aplicación mostrada en pantalla.
2. Comparar con la versión del build actual (ej. v1.0.0).",La versión de la aplicación mostrada en pantalla coincide con la versión del build actual.
Deberá mostrar la versión de la aplicación para el sistema operativo según aplique.,Funcional,TC-012,Verificar que la versión de la aplicación mostrada incluye o es apropiada para el sistema operativo actual.,La versión de la aplicación es visible en la pantalla de bienvenida.,"1. Leer la versión de la aplicación mostrada en pantalla.
2. Verificar si incluye el nombre del sistema operativo (ej. Android, iOS) o si el formato es específico del SO.",La versión de la aplicación mostrada es correcta para el sistema operativo en el que se ejecuta (ej. 'v1.0.0 Android' o 'v1.0.0 iOS').
Al hacer clic en el botón “Ingresar“ debe redirigir al login de inicio de sesión pantalla NEW_LOGIN_02,Funcional,TC-013,Verificar que al hacer clic en el botón 'Ingresar' se navega a la pantalla de login.,La pantalla de bienvenida está visible y el botón 'Ingresar' es interactuable.,1. Hacer clic en el botón 'Ingresar'.,La aplicación navega a la pantalla de login de inicio de sesión.
Al hacer clic en el botón “Ingresar“ debe redirigir al login de inicio de sesión pantalla NEW_LOGIN_02,Funcional,TC-014,Verificar que la pantalla de login cargada después de hacer clic en 'Ingresar' corresponde al mockup 'NEW_LOGIN_02'.,Se ha navegado a la pantalla de login desde la pantalla de bienvenida.,"1. Observar la pantalla de login.
2. Comparar el diseño, la disposición de los elementos y los estilos con el mockup 'NEW_LOGIN_02'.",La pantalla de login mostrada coincide exactamente con el mockup 'NEW_LOGIN_02'.
